Story,Umbrella,Geographic area,Neighborhoods,Other topics,Umbrella,Geographic area,Neighborhoods,SocialBrief
https://www.publicsource.org/pittsburgh-most-wanted-graffiti-writer-max-gonzales-muralist-essay/,"Pittsburgh, Allegheny County","East End, North Side","Garfield, New Kensington, Bloomfield, Observatory Hill, Central Lawrenceville, Swissvale, Rankin, South Side",,"Pittsburgh, Allegheny County","Central Pittsburgh, Mon Valley, Upper East End","GARFIELD, New Kensington, BLOOMFIELD, Observatory Hill, CENTRAL LAWRENCEVILLE, SWISSVALE, RANKIN, South Side","📣 Pittsburgh Most Wanted Graffiti Writer Max Gonzales Muralist Essay. This story spotlights Central Pittsburgh, Mon Valley, Upper East End communities like GARFIELD, New Kensington, BLOOMFIELD, Observatory Hill, CENTRAL LAWRENCEVILLE, SWISSVALE, RANKIN, South Side. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/pittsburgh-parties-protest-donald-trump-inauguration-mlk-day/,"Pittsburgh, Allegheny County",,"Shaler, East Liberty, Oakland, Downtown, Swissvale",,"Pittsburgh, Allegheny County","Mon Valley, North Hills, Upper East End","SHALER, EAST LIBERTY, Oakland, Downtown, SWISSVALE","📣 Pittsburgh Parties Protest Donald Trump Inauguration Mlk Day. This story spotlights Mon Valley, North Hills, Upper East End communities like SHALER, EAST LIBERTY, Oakland, Downtown, SWISSVALE. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/downtown-pittsburgh-transformation-six-key-data-points/,Pittsburgh,,Downtown,,Pittsburgh,,Downtown,📣 Downtown Pittsburgh Transformation Six Key Data Points. This story spotlights our region communities like Downtown. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/allegheny-county-jail-opioid-use-disorder-moud-program-evolution/,"Pittsburgh, Allegheny County",,"Downtown, North Side",,"Pittsburgh, Allegheny County",,"Downtown, North Side","📣 Allegheny County Jail Opioid Use Disorder Moud Program Evolution. This story spotlights our region communities like Downtown, North Side. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/inclusionary-zoning-pittsburgh-competing-proposals-gainey-charland-planning-commission/,Pittsburgh,,"Polish Hill, Bloomfield, Lawrenceville, Oakland",,Pittsburgh,"Central Pittsburgh, Upper East End","POLISH HILL, BLOOMFIELD, Lawrenceville, Oakland","📣 Inclusionary Zoning Pittsburgh Competing Proposals Gainey Charland Planning Commission. This story spotlights Central Pittsburgh, Upper East End communities like POLISH HILL, BLOOMFIELD, Lawrenceville, Oakland. Read more @PublicSource! #Pittsburgh"
https://www.publicsource.org/pittsburgh-employment-felony-conviction-error-braddock-inclusion-project/,"Pittsburgh, Allegheny County",,Braddock,,"Pittsburgh, Allegheny County",Mon Valley,BRADDOCK,📣 Pittsburgh Employment Felony Conviction Error Braddock Inclusion Project. This story spotlights Mon Valley communities like BRADDOCK. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/inclusionary-zoning-pittsburgh-competing-proposals-gainey-charland-planning-commission/,,,,,,,,📣 Inclusionary Zoning Pittsburgh Competing Proposals Gainey Charland Planning Commission. This story spotlights our region communities like locals. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/trump-refugee-resettlement-policy-pittsburgh-immigration/,,,,,,,,📣 Trump Refugee Resettlement Policy Pittsburgh Immigration. This story spotlights our region communities like locals. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/as-the-trump-administration-changes-america-we-want-to-know-how-its-affecting-pittsburghers/,,,,,,,,📣 As The Trump Administration Changes America We Want To Know How Its Affecting Pittsburghers. This story spotlights our region communities like locals. Read more @PublicSource! #Pittsburgh
https://www.publicsource.org/pittsburgh-queer-history-landmark-preservation-review-commission-lgbtq-activists/,Pittsburgh,Central Pittsburgh,Polish Hill,,Pittsburgh,Central Pittsburgh,POLISH HILL,📣 Pittsburgh Queer History Landmark Preservation Review Commission Lgbtq Activists. This story spotlights Central Pittsburgh communities like POLISH HILL. Read more @PublicSource! #Pittsburgh
